site,X,Y,elevation,depth,distance_from_shore,date,temperature,site_sampled
1,-35.241248,149.168755,637,2,20,9/10/2022 18:02,15,10
1,-35.241248,149.168755,637,2,20,9/10/2022 19:02,14,10
1,-35.241248,149.168755,637,2,20,9/10/2022 20:02,13,10
1,-35.241248,149.168755,637,2,20,9/10/2022 21:02,12.5,10
1,-35.241248,149.168755,637,2,20,9/10/2022 22:02,12,10
1,-35.241248,149.168755,637,2,20,9/10/2022 23:02,11.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 0:02,11,10
1,-35.241248,149.168755,637,2,20,10/10/2022 1:02,10.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 2:02,9.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 3:02,9.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 4:02,9.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 5:02,9,10
1,-35.241248,149.168755,637,2,20,10/10/2022 6:02,9,10
1,-35.241248,149.168755,637,2,20,10/10/2022 7:02,9,10
1,-35.241248,149.168755,637,2,20,10/10/2022 8:02,10,10
1,-35.241248,149.168755,637,2,20,10/10/2022 9:02,10.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 10:02,12.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 11:02,15,10
1,-35.241248,149.168755,637,2,20,10/10/2022 12:02,16.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 13:02,20.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 14:02,23,10
1,-35.241248,149.168755,637,2,20,10/10/2022 15:02,23.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 16:02,23,10
1,-35.241248,149.168755,637,2,20,10/10/2022 17:02,20.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 18:02,18,10
1,-35.241248,149.168755,637,2,20,10/10/2022 19:02,16.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 20:02,15.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 21:02,14.5,10
1,-35.241248,149.168755,637,2,20,10/10/2022 22:02,14,10
1,-35.241248,149.168755,637,2,20,10/10/2022 23:02,13.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 0:02,13,10
1,-35.241248,149.168755,637,2,20,11/10/2022 1:02,12.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 2:02,12,10
1,-35.241248,149.168755,637,2,20,11/10/2022 3:02,12,10
1,-35.241248,149.168755,637,2,20,11/10/2022 4:02,12,10
1,-35.241248,149.168755,637,2,20,11/10/2022 5:02,11.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 6:02,11.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 7:02,11.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 8:02,11.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 9:02,12.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 10:02,14,10
1,-35.241248,149.168755,637,2,20,11/10/2022 11:02,18,10
1,-35.241248,149.168755,637,2,20,11/10/2022 12:02,22.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 13:02,26,10
1,-35.241248,149.168755,637,2,20,11/10/2022 14:02,27,10
1,-35.241248,149.168755,637,2,20,11/10/2022 15:02,24.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 16:02,22.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 17:02,21.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 18:02,19.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 19:02,18,10
1,-35.241248,149.168755,637,2,20,11/10/2022 20:02,17,10
1,-35.241248,149.168755,637,2,20,11/10/2022 21:02,16.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 22:02,15.5,10
1,-35.241248,149.168755,637,2,20,11/10/2022 23:02,15.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 0:02,15,10
1,-35.241248,149.168755,637,2,20,12/10/2022 1:02,14.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 2:02,14,10
1,-35.241248,149.168755,637,2,20,12/10/2022 3:02,14,10
1,-35.241248,149.168755,637,2,20,12/10/2022 4:02,13.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 5:02,13.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 6:02,13,10
1,-35.241248,149.168755,637,2,20,12/10/2022 7:02,13,10
1,-35.241248,149.168755,637,2,20,12/10/2022 8:02,14,10
1,-35.241248,149.168755,637,2,20,12/10/2022 9:02,15,10
1,-35.241248,149.168755,637,2,20,12/10/2022 10:02,17,10
1,-35.241248,149.168755,637,2,20,12/10/2022 11:02,20.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 12:02,22.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 13:02,23,10
1,-35.241248,149.168755,637,2,20,12/10/2022 14:02,22.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 15:02,22,10
1,-35.241248,149.168755,637,2,20,12/10/2022 16:02,20.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 17:02,19.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 18:02,18.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 19:02,17.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 20:02,17,10
1,-35.241248,149.168755,637,2,20,12/10/2022 21:02,16.5,10
1,-35.241248,149.168755,637,2,20,12/10/2022 22:02,16,10
1,-35.241248,149.168755,637,2,20,12/10/2022 23:02,15.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 0:02,15.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 1:02,15,10
1,-35.241248,149.168755,637,2,20,13/10/2022 2:02,15,10
1,-35.241248,149.168755,637,2,20,13/10/2022 3:02,14.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 4:02,14.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 5:02,14,10
1,-35.241248,149.168755,637,2,20,13/10/2022 6:02,14,10
1,-35.241248,149.168755,637,2,20,13/10/2022 7:02,13.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 8:02,14,10
1,-35.241248,149.168755,637,2,20,13/10/2022 9:02,14,10
1,-35.241248,149.168755,637,2,20,13/10/2022 10:02,14,10
1,-35.241248,149.168755,637,2,20,13/10/2022 11:02,14.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 12:02,17,10
1,-35.241248,149.168755,637,2,20,13/10/2022 13:02,17.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 14:02,17.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 15:02,17.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 16:02,17,10
1,-35.241248,149.168755,637,2,20,13/10/2022 17:02,16.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 18:02,16,10
1,-35.241248,149.168755,637,2,20,13/10/2022 19:02,15.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 20:02,15,10
1,-35.241248,149.168755,637,2,20,13/10/2022 21:02,15,10
1,-35.241248,149.168755,637,2,20,13/10/2022 22:02,14.5,10
1,-35.241248,149.168755,637,2,20,13/10/2022 23:02,14.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 0:02,14.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 1:02,14,10
1,-35.241248,149.168755,637,2,20,14/10/2022 2:02,14,10
1,-35.241248,149.168755,637,2,20,14/10/2022 3:02,13.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 4:02,13.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 5:02,13,10
1,-35.241248,149.168755,637,2,20,14/10/2022 6:02,12.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 7:02,12.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 8:02,13,10
1,-35.241248,149.168755,637,2,20,14/10/2022 9:02,12.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 10:02,14,10
1,-35.241248,149.168755,637,2,20,14/10/2022 11:02,16.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 12:02,16.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 13:02,18,10
1,-35.241248,149.168755,637,2,20,14/10/2022 14:02,18,10
1,-35.241248,149.168755,637,2,20,14/10/2022 15:02,18,10
1,-35.241248,149.168755,637,2,20,14/10/2022 16:02,18.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 17:02,17.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 18:02,16.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 19:02,15.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 20:02,15,10
1,-35.241248,149.168755,637,2,20,14/10/2022 21:02,14.5,10
1,-35.241248,149.168755,637,2,20,14/10/2022 22:02,14,10
1,-35.241248,149.168755,637,2,20,14/10/2022 23:02,13.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 0:02,13,10
1,-35.241248,149.168755,637,2,20,15/10/2022 1:02,13,10
1,-35.241248,149.168755,637,2,20,15/10/2022 2:02,12.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 3:02,12,10
1,-35.241248,149.168755,637,2,20,15/10/2022 4:02,12,10
1,-35.241248,149.168755,637,2,20,15/10/2022 5:02,11.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 6:02,11.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 7:02,11.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 8:02,12.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 9:02,12.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 10:02,14.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 11:02,18.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 12:02,21,10
1,-35.241248,149.168755,637,2,20,15/10/2022 13:02,24,10
1,-35.241248,149.168755,637,2,20,15/10/2022 14:02,25,10
1,-35.241248,149.168755,637,2,20,15/10/2022 15:02,24.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 16:02,23,10
1,-35.241248,149.168755,637,2,20,15/10/2022 17:02,20.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 18:02,18.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 19:02,17.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 20:02,16.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 21:02,16,10
1,-35.241248,149.168755,637,2,20,15/10/2022 22:02,15.5,10
1,-35.241248,149.168755,637,2,20,15/10/2022 23:02,15,10
1,-35.241248,149.168755,637,2,20,16/10/2022 0:02,14.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 1:02,14,10
1,-35.241248,149.168755,637,2,20,16/10/2022 2:02,13.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 3:02,13,10
1,-35.241248,149.168755,637,2,20,16/10/2022 4:02,12.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 5:02,12.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 6:02,12,10
1,-35.241248,149.168755,637,2,20,16/10/2022 7:02,12,10
1,-35.241248,149.168755,637,2,20,16/10/2022 8:02,12.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 9:02,13,10
1,-35.241248,149.168755,637,2,20,16/10/2022 10:02,14.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 11:02,18,10
1,-35.241248,149.168755,637,2,20,16/10/2022 12:02,20,10
1,-35.241248,149.168755,637,2,20,16/10/2022 13:02,22.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 14:02,26,10
1,-35.241248,149.168755,637,2,20,16/10/2022 15:02,25.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 16:02,24,10
1,-35.241248,149.168755,637,2,20,16/10/2022 17:02,21.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 18:02,19.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 19:02,18,10
1,-35.241248,149.168755,637,2,20,16/10/2022 20:02,17.5,10
1,-35.241248,149.168755,637,2,20,16/10/2022 21:02,17,10
1,-35.241248,149.168755,637,2,20,16/10/2022 22:02,16,10
1,-35.241248,149.168755,637,2,20,16/10/2022 23:02,15.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 0:02,14.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 1:02,14.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 2:02,14,10
1,-35.241248,149.168755,637,2,20,17/10/2022 3:02,14,10
1,-35.241248,149.168755,637,2,20,17/10/2022 4:02,13.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 5:02,13.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 6:02,13,10
1,-35.241248,149.168755,637,2,20,17/10/2022 7:02,12.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 8:02,13.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 9:02,14,10
1,-35.241248,149.168755,637,2,20,17/10/2022 10:02,15,10
1,-35.241248,149.168755,637,2,20,17/10/2022 11:02,16.5,10
1,-35.241248,149.168755,637,2,20,17/10/2022 12:02,17,10
1,-35.241248,149.168755,637,2,20,17/10/2022 13:02,18,10
1,-35.241248,149.168755,637,2,20,17/10/2022 14:02,19,10
1,-35.241248,149.168755,637,2,20,17/10/2022 15:02,21,10
1,-35.241248,149.168755,637,2,20,17/10/2022 16:02,22,10
1,-35.241248,149.168755,637,2,20,17/10/2022 17:02,20,10
1,-35.241248,149.168755,637,2,20,17/10/2022 18:02,18,10
1,-35.241248,149.168755,637,2,20,17/10/2022 19:02,17,10
1,-35.241248,149.168755,637,2,20,17/10/2022 20:02,16,10
1,-35.241248,149.168755,637,2,20,17/10/2022 21:02,15,10
1,-35.241248,149.168755,637,2,20,17/10/2022 22:02,15,10
1,-35.241248,149.168755,637,2,20,17/10/2022 23:02,14.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 0:02,14.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 1:02,14,10
1,-35.241248,149.168755,637,2,20,18/10/2022 2:02,13.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 3:02,13.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 4:02,13,10
1,-35.241248,149.168755,637,2,20,18/10/2022 5:02,13,10
1,-35.241248,149.168755,637,2,20,18/10/2022 6:02,13,10
1,-35.241248,149.168755,637,2,20,18/10/2022 7:02,13,10
1,-35.241248,149.168755,637,2,20,18/10/2022 8:02,13.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 9:02,14,10
1,-35.241248,149.168755,637,2,20,18/10/2022 10:02,15.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 11:02,19.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 12:02,20.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 13:02,21,10
1,-35.241248,149.168755,637,2,20,18/10/2022 14:02,21.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 15:02,22,10
1,-35.241248,149.168755,637,2,20,18/10/2022 16:02,21,10
1,-35.241248,149.168755,637,2,20,18/10/2022 17:02,20.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 18:02,19,10
1,-35.241248,149.168755,637,2,20,18/10/2022 19:02,18,10
1,-35.241248,149.168755,637,2,20,18/10/2022 20:02,17.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 21:02,16.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 22:02,16.5,10
1,-35.241248,149.168755,637,2,20,18/10/2022 23:02,16,10
1,-35.241248,149.168755,637,2,20,19/10/2022 0:02,16,10
1,-35.241248,149.168755,637,2,20,19/10/2022 1:02,15.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 2:02,15,10
1,-35.241248,149.168755,637,2,20,19/10/2022 3:02,14.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 4:02,13.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 5:02,13.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 6:02,13.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 7:02,13.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 8:02,15,10
1,-35.241248,149.168755,637,2,20,19/10/2022 9:02,16,10
1,-35.241248,149.168755,637,2,20,19/10/2022 10:02,16.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 11:02,20.5,10
1,-35.241248,149.168755,637,2,20,19/10/2022 12:02,21.5,10
